run_id,timestamp,prompt_id,dataset,category,split,system,repeat_idx,prompt_template_version,parser_version,route_chosen,route_attempt_sequence,escalations_count,decision_reason,final_answer_source,answer_raw,answer_parsed,parse_success,ground_truth,correct,total_latency_ms,timeout_flag,energy_start_mwh,energy_end_mwh,energy_delta_mwh,energy_per_prompt_mwh,error_code,model_name,quantization,temperature,top_p,top_k,seed,timeout_sec,config_version,router_version
hybrid_v1_20260221_215611,2026-02-21T21:56:11.641858,AR_000001,deepmind_math,AR,industry_tier1_40_v2,hybrid_v1,1,PT3_phi_chat,P2_numeric_robust,A5,A5(Primary route for AR),0,Primary route for AR,A5,[A5 symbolic: 4 - (5 - (3 + 2)) = 4],4,1,4,1,3.878,0,15735.00,18342.00,2607.00,65.17,E0,Phi-4-Mini,Q6_K,0.0,1.0,1,42,20,v1.0,v1.0
hybrid_v1_20260221_215611,2026-02-21T21:56:11.743218,AR_000001,deepmind_math,AR,industry_tier1_40_v2,hybrid_v1,2,PT3_phi_chat,P2_numeric_robust,A5,A5(Primary route for AR),0,Primary route for AR,A5,[A5 symbolic: 4 - (5 - (3 + 2)) = 4],4,1,4,1,0.882,0,15735.00,18342.00,2607.00,65.17,E0,Phi-4-Mini,Q6_K,0.0,1.0,1,42,20,v1.0,v1.0
hybrid_v1_20260221_215611,2026-02-21T21:56:11.844498,AR_000001,deepmind_math,AR,industry_tier1_40_v2,hybrid_v1,3,PT3_phi_chat,P2_numeric_robust,A5,A5(Primary route for AR),0,Primary route for AR,A5,[A5 symbolic: 4 - (5 - (3 + 2)) = 4],4,1,4,1,0.833,0,15735.00,18342.00,2607.00,65.17,E0,Phi-4-Mini,Q6_K,0.0,1.0,1,42,20,v1.0,v1.0
hybrid_v1_20260221_215611,2026-02-21T21:56:11.846031,AR_000002,deepmind_math,AR,industry_tier1_40_v2,hybrid_v1,1,PT3_phi_chat,P2_numeric_robust,A5,A5(Primary route for AR),0,Primary route for AR,A5,[A5 symbolic: -2 + -1 + (10 + -7 - -4) = 4],4,1,4,1,1.184,0,15735.00,18342.00,2607.00,65.17,E0,Phi-4-Mini,Q6_K,0.0,1.0,1,42,20,v1.0,v1.0
hybrid_v1_20260221_215611,2026-02-21T21:56:11.947597,AR_000002,deepmind_math,AR,industry_tier1_40_v2,hybrid_v1,2,PT3_phi_chat,P2_numeric_robust,A5,A5(Primary route for AR),0,Primary route for AR,A5,[A5 symbolic: -2 + -1 + (10 + -7 - -4) = 4],4,1,4,1,1.187,0,15735.00,18342.00,2607.00,65.17,E0,Phi-4-Mini,Q6_K,0.0,1.0,1,42,20,v1.0,v1.0
hybrid_v1_20260221_215611,2026-02-21T21:56:12.049188,AR_000002,deepmind_math,AR,industry_tier1_40_v2,hybrid_v1,3,PT3_phi_chat,P2_numeric_robust,A5,A5(Primary route for AR),0,Primary route for AR,A5,[A5 symbolic: -2 + -1 + (10 + -7 - -4) = 4],4,1,4,1,1.168,0,15735.00,18342.00,2607.00,65.17,E0,Phi-4-Mini,Q6_K,0.0,1.0,1,42,20,v1.0,v1.0
hybrid_v1_20260221_215611,2026-02-21T21:56:12.050302,AR_000003,deepmind_math,AR,industry_tier1_40_v2,hybrid_v1,1,PT3_phi_chat,P2_numeric_robust,A5,A5(Primary route for AR),0,Primary route for AR,A5,[A5 symbolic: -7.5 - -2320.5 = 2313],2313,1,2313,1,0.740,0,15735.00,18342.00,2607.00,65.17,E0,Phi-4-Mini,Q6_K,0.0,1.0,1,42,20,v1.0,v1.0
hybrid_v1_20260221_215611,2026-02-21T21:56:12.151530,AR_000003,deepmind_math,AR,industry_tier1_40_v2,hybrid_v1,2,PT3_phi_chat,P2_numeric_robust,A5,A5(Primary route for AR),0,Primary route for AR,A5,[A5 symbolic: -7.5 - -2320.5 = 2313],2313,1,2313,1,0.857,0,15735.00,18342.00,2607.00,65.17,E0,Phi-4-Mini,Q6_K,0.0,1.0,1,42,20,v1.0,v1.0
hybrid_v1_20260221_215611,2026-02-21T21:56:12.252840,AR_000003,deepmind_math,AR,industry_tier1_40_v2,hybrid_v1,3,PT3_phi_chat,P2_numeric_robust,A5,A5(Primary route for AR),0,Primary route for AR,A5,[A5 symbolic: -7.5 - -2320.5 = 2313],2313,1,2313,1,0.875,0,15735.00,18342.00,2607.00,65.17,E0,Phi-4-Mini,Q6_K,0.0,1.0,1,42,20,v1.0,v1.0
hybrid_v1_20260221_215611,2026-02-21T21:56:12.253897,AR_000004,deepmind_math,AR,industry_tier1_40_v2,hybrid_v1,1,PT3_phi_chat,P2_numeric_robust,A5,A5(Primary route for AR),0,Primary route for AR,A5,[A5 symbolic: -1*-201 = 201],201,1,201,1,0.719,0,15735.00,18342.00,2607.00,65.17,E0,Phi-4-Mini,Q6_K,0.0,1.0,1,42,20,v1.0,v1.0
hybrid_v1_20260221_215611,2026-02-21T21:56:12.355087,AR_000004,deepmind_math,AR,industry_tier1_40_v2,hybrid_v1,2,PT3_phi_chat,P2_numeric_robust,A5,A5(Primary route for AR),0,Primary route for AR,A5,[A5 symbolic: -1*-201 = 201],201,1,201,1,0.816,0,15735.00,18342.00,2607.00,65.17,E0,Phi-4-Mini,Q6_K,0.0,1.0,1,42,20,v1.0,v1.0
hybrid_v1_20260221_215611,2026-02-21T21:56:12.456272,AR_000004,deepmind_math,AR,industry_tier1_40_v2,hybrid_v1,3,PT3_phi_chat,P2_numeric_robust,A5,A5(Primary route for AR),0,Primary route for AR,A5,[A5 symbolic: -1*-201 = 201],201,1,201,1,0.808,0,15735.00,18342.00,2607.00,65.17,E0,Phi-4-Mini,Q6_K,0.0,1.0,1,42,20,v1.0,v1.0
hybrid_v1_20260221_215611,2026-02-21T21:56:12.457962,AR_000005,deepmind_math,AR,industry_tier1_40_v2,hybrid_v1,1,PT3_phi_chat,P2_numeric_robust,A5,A5(Primary route for AR),0,Primary route for AR,A5,[A5 symbolic: ((-2)/(-3) + -1)/((-2)/6) = 1],1,1,1,1,1.364,0,15735.00,18342.00,2607.00,65.17,E0,Phi-4-Mini,Q6_K,0.0,1.0,1,42,20,v1.0,v1.0
hybrid_v1_20260221_215611,2026-02-21T21:56:12.559705,AR_000005,deepmind_math,AR,industry_tier1_40_v2,hybrid_v1,2,PT3_phi_chat,P2_numeric_robust,A5,A5(Primary route for AR),0,Primary route for AR,A5,[A5 symbolic: ((-2)/(-3) + -1)/((-2)/6) = 1],1,1,1,1,1.370,0,15735.00,18342.00,2607.00,65.17,E0,Phi-4-Mini,Q6_K,0.0,1.0,1,42,20,v1.0,v1.0
hybrid_v1_20260221_215611,2026-02-21T21:56:12.661478,AR_000005,deepmind_math,AR,industry_tier1_40_v2,hybrid_v1,3,PT3_phi_chat,P2_numeric_robust,A5,A5(Primary route for AR),0,Primary route for AR,A5,[A5 symbolic: ((-2)/(-3) + -1)/((-2)/6) = 1],1,1,1,1,1.400,0,15735.00,18342.00,2607.00,65.17,E0,Phi-4-Mini,Q6_K,0.0,1.0,1,42,20,v1.0,v1.0
hybrid_v1_20260221_215611,2026-02-21T21:56:12.662538,AR_000006,deepmind_math,AR,industry_tier1_40_v2,hybrid_v1,1,PT3_phi_chat,P2_numeric_robust,A5,A5(Primary route for AR),0,Primary route for AR,A5,[A5 symbolic: ((-32)/6 - -2)/(104/156) = -5],-5,1,-5,1,0.745,0,15735.00,18342.00,2607.00,65.17,E0,Phi-4-Mini,Q6_K,0.0,1.0,1,42,20,v1.0,v1.0
