id,category,prompt,expected_answer
AR01,AR,Answer with only the final number. What is 17 * 24?,408
AR02,AR,Answer with only the final number. What is 38 * 7?,266
AR03,AR,Answer with only the final number. What is 56 * 14?,784
AR04,AR,Answer with only the final number. What is 1000 - 387?,613
AR05,AR,Answer with only the final number. What is 625 / 25?,25
AR06,AR,Answer with only the final number. What is 144 / 12?,12
AR07,AR,Answer with only the final number. What is 15^2?,225
AR08,AR,Answer with only the final number. What is 9^3?,729
AR09,AR,Answer with only the final number. What is (45 + 55) / 5?,20
AR10,AR,Answer with only the final number. What is 81 - 9*7?,18
AR11,AR,Answer with only the final number. What is 73 + 29?,102
AR12,AR,Answer with only the final number. What is 96 / 8?,12
AR13,AR,Answer with only the final number. What is (18 * 7) - 50?,76
ALG01,ALG,Answer with only the final number. Solve for x: x + 5 = 12.,7
ALG02,ALG,Answer with only the final number. Solve for x: 3x = 21.,7
ALG03,ALG,Answer with only the final number. Solve for x: 2x + 3 = 11.,4
ALG04,ALG,Answer with only the final number. Solve for x: x/4 = 6.,24
ALG05,ALG,Answer with only the final number. Solve for x: 5x - 10 = 0.,2
ALG06,ALG,Answer with only the final number. Solve for x: 7 + x = 20.,13
ALG07,ALG,Answer with only the final number. Solve for x: 9x + 1 = 19.,2
ALG08,ALG,Answer with only the final number. Solve for x: x - 8 = -3.,5
ALG09,ALG,Answer with only the final number. Solve for x: 4(x - 2) = 20.,7
ALG10,ALG,Answer with only the final number. Solve for x: (x/2) + 3 = 11.,16
ALG11,ALG,Answer with only the final number. Solve for x: 6x + 2 = 20.,3
ALG12,ALG,Answer with only the final number. Solve for x: (x/5) - 1 = 3.,20
ALG13,ALG,Answer with only the final number. Solve for x: 2(x + 4) = 18.,5
LOG01,LOG,"Answer with only Yes or No. If all bloops are razzies and all razzies are flums, are all bloops flums?",Yes
LOG02,LOG,"Answer with only Yes or No. If no squares are circles and all circles are shapes, are any squares circles?",No
LOG03,LOG,"Answer with only Yes or No. If all A are B and some B are C, does it follow that some A are C?",No
LOG04,LOG,"Answer with only Yes or No. If today is after Monday, is it possible that today is Tuesday?",Yes
LOG05,LOG,"Answer with only Yes or No. If 2 statements are both true, is their conjunction true?",Yes
LOG06,LOG,"Answer with only Yes or No. If every cat is an animal and Felix is a cat, is Felix an animal?",Yes
LOG07,LOG,"Answer with only Yes or No. If no mammals lay eggs and a platypus lays eggs, is a platypus a mammal?",No
LOG08,LOG,"Answer with only Yes or No. If all glips are blaps and no blaps are snorps, can any glips be snorps?",No
LOG09,LOG,"Answer with only Yes or No. If X implies Y and X is false, must Y be true?",No
LOG10,LOG,"Answer with only Yes or No. If either P or Q is true and P is false, must Q be true?",Yes
LOG11,LOG,"Answer with only Yes or No. If all roses are flowers and some flowers fade, does it follow that some roses fade?",No
LOG12,LOG,"Answer with only Yes or No. If P implies Q and Q is false, must P be false?",Yes
WP01,WP,"Answer with only the final number. A box has 12 apples. If you buy 4 boxes, how many apples do you have?",48
WP02,WP,Answer with only the final number. A rectangle has length 8 and width 5. What is its area?,40
WP03,WP,Answer with only the final number. You have 30 candies and give away 12. How many remain?,18
WP04,WP,Answer with only the final number. A car travels 60 miles in 2 hours. What is its average speed in miles per hour?,30
WP05,WP,Answer with only the final number. A store sells 3 pens for $6. How much does 1 pen cost?,2
WP06,WP,Answer with only the final number. A recipe needs 2 cups of flour per batch. How many cups for 5 batches?,10
WP07,WP,Answer with only the final number. There are 24 students. They form groups of 6. How many groups?,4
WP08,WP,Answer with only the final number. A tank holds 50 liters. 30% is used. How many liters remain?,35
WP09,WP,Answer with only the final number. A train moves 90 km in 3 hours. What is its speed in km/h?,30
WP10,WP,Answer with only the final number. You read 15 pages per day for 8 days. How many pages total?,120
WP11,WP,Answer with only the final number. A movie ticket costs $9. You buy 6 tickets. What is the total cost?,54
WP12,WP,Answer with only the final number. You split 72 cookies equally among 8 friends. How many cookies does each friend get?,9
