case_type,id,category,prompt,expected_answer,baseline_output,baseline_correct,baseline_latency_s,hybrid_v1_output,hybrid_v1_correct,hybrid_v1_latency_s,hybrid_v2_output,hybrid_v2_correct,hybrid_v2_latency_s,delta_latency_s,hybrid_v2_route,hybrid_v2_sym_expr,hybrid_v2_llm_answer,suggested_note
BASELINE_WRONG__V2_CORRECT,ALG09,ALG,Answer with only the final number. Solve for x: 4(x - 2) = 20.,7,8,0,5.10110,7,1,0.01150,7,1,8.37420,,LLM+VERIFY_FAIL_FALLBACK_SYM,4(x - 2) = 20,,"Baseline wrong, Hybrid v2 correct (good poster example)."
BASELINE_WRONG__V2_CORRECT,ALG100,ALG,Answer with only the final number. Solve for x: 3x - (x - 5) = -15.,-10,-5,0,5.39775,-10,1,0.00640,-10,1,7.51700,,LLM+VERIFY_FAIL_FALLBACK_SYM,3x - (x - 5) = -15,,"Baseline wrong, Hybrid v2 correct (good poster example)."
BASELINE_WRONG__V2_CORRECT,ALG17,ALG,Answer with only the final number. Solve for x: 4(x + -5) = -52.,-8,-3,0,6.68330,-8,1,0.00850,-8,1,9.67650,,LLM+VERIFY_FAIL_FALLBACK_SYM,4(x + -5) = -52,,"Baseline wrong, Hybrid v2 correct (good poster example)."
BASELINE_WRONG__V2_CORRECT,ALG18,ALG,Answer with only the final number. Solve for x: (x + 19)/8 = 4.,13,36,0,5.65130,13,1,0.01120,13,1,8.43480,,LLM+VERIFY_FAIL_FALLBACK_SYM,(x + 19)/8 = 4,,"Baseline wrong, Hybrid v2 correct (good poster example)."
BASELINE_WRONG__V2_CORRECT,ALG21,ALG,Answer with only the final number. Solve for x: 7x + 6 = -106.,-16,-18,0,6.54580,-16,1,0.01170,-16,1,9.37370,,LLM+VERIFY_FAIL_FALLBACK_SYM,7x + 6 = -106,,"Baseline wrong, Hybrid v2 correct (good poster example)."
BASELINE_WRONG__V2_CORRECT,ALG23,ALG,Answer with only the final number. Solve for x: (x + -8)/6 = -1.,2,-6,0,6.65550,2,1,0.01200,2,1,9.72850,,LLM+VERIFY_FAIL_FALLBACK_SYM,(x + -8)/6 = -1,,"Baseline wrong, Hybrid v2 correct (good poster example)."
BASELINE_WRONG__V2_CORRECT,ALG25,ALG,Answer with only the final number. Solve for x: 3x - (x - 5) = -19.,-12,-6,0,5.70445,-12,1,0.00740,-12,1,7.75250,,LLM+VERIFY_FAIL_FALLBACK_SYM,3x - (x - 5) = -19,,"Baseline wrong, Hybrid v2 correct (good poster example)."
BASELINE_WRONG__V2_CORRECT,ALG27,ALG,Answer with only the final number. Solve for x: 7(x + 0) = -133.,-19,-22,0,6.78890,-19,1,0.00720,-19,1,10.00530,,LLM+VERIFY_FAIL_FALLBACK_SYM,7(x + 0) = -133,,"Baseline wrong, Hybrid v2 correct (good poster example)."
BASELINE_WRONG__V2_CORRECT,ALG28,ALG,Answer with only the final number. Solve for x: (x + 17)/6 = 3.,1,24,0,5.70790,1,1,0.00940,1,1,8.29870,,LLM+VERIFY_FAIL_FALLBACK_SYM,(x + 17)/6 = 3,,"Baseline wrong, Hybrid v2 correct (good poster example)."
BASELINE_WRONG__V2_CORRECT,ALG30,ALG,Answer with only the final number. Solve for x: 3x - (x - 5) = 35.,15,10,0,4.96020,15,1,0.00660,15,1,6.80760,,LLM+VERIFY_FAIL_FALLBACK_SYM,3x - (x - 5) = 35,,"Baseline wrong, Hybrid v2 correct (good poster example)."
BASELINE_WRONG__V2_CORRECT,ALG32,ALG,Answer with only the final number. Solve for x: 2(x + -3) = 12.,9,6,0,6.55135,9,1,0.00640,9,1,8.29540,,LLM+VERIFY_FAIL_FALLBACK_SYM,2(x + -3) = 12,,"Baseline wrong, Hybrid v2 correct (good poster example)."
BASELINE_WRONG__V2_CORRECT,ALG33,ALG,Answer with only the final number. Solve for x: (x + -13)/9 = -3.,-14,-6,0,6.60805,-14,1,0.01220,-14,1,9.75990,,LLM+VERIFY_FAIL_FALLBACK_SYM,(x + -13)/9 = -3,,"Baseline wrong, Hybrid v2 correct (good poster example)."
BASELINE_WRONG__V2_CORRECT,ALG35,ALG,Answer with only the final number. Solve for x: 3x - (x - 5) = -1.,-3,-2,0,5.66605,-3,1,0.00660,-3,1,7.55450,,LLM+VERIFY_FAIL_FALLBACK_SYM,3x - (x - 5) = -1,,"Baseline wrong, Hybrid v2 correct (good poster example)."
BASELINE_WRONG__V2_CORRECT,ALG41,ALG,Answer with only the final number. Solve for x: 10x + -30 = -120.,-9,-12,0,6.60265,-9,1,0.00780,-9,1,9.90190,,LLM+VERIFY_FAIL_FALLBACK_SYM,10x + -30 = -120,,"Baseline wrong, Hybrid v2 correct (good poster example)."
BASELINE_WRONG__V2_CORRECT,ALG42,ALG,Answer with only the final number. Solve for x: 2(x + -10) = -58.,-19,-6,0,6.14155,-19,1,0.00790,-19,1,8.91650,,LLM+VERIFY_FAIL_FALLBACK_SYM,2(x + -10) = -58,,"Baseline wrong, Hybrid v2 correct (good poster example)."
BASELINE_WRONG__V2_CORRECT,ALG43,ALG,Answer with only the final number. Solve for x: (x + -10)/6 = -3.,-8,12,0,5.92405,-8,1,0.00830,-8,1,9.04600,,LLM+VERIFY_FAIL_FALLBACK_SYM,(x + -10)/6 = -3,,"Baseline wrong, Hybrid v2 correct (good poster example)."
BASELINE_WRONG__V2_CORRECT,ALG45,ALG,Answer with only the final number. Solve for x: 3x - (x - 5) = -27.,-16,-6,0,5.65390,-16,1,0.00650,-16,1,7.81620,,LLM+VERIFY_FAIL_FALLBACK_SYM,3x - (x - 5) = -27,,"Baseline wrong, Hybrid v2 correct (good poster example)."
BASELINE_WRONG__V2_CORRECT,ALG47,ALG,Answer with only the final number. Solve for x: 6(x + -1) = -42.,-6,-7,0,7.23005,-6,1,0.01140,-6,1,10.57670,,LLM+VERIFY_FAIL_FALLBACK_SYM,6(x + -1) = -42,,"Baseline wrong, Hybrid v2 correct (good poster example)."
BASELINE_WRONG__V2_CORRECT,ALG48,ALG,Answer with only the final number. Solve for x: (x + -16)/3 = -4.,4,12,0,5.95305,4,1,0.01180,4,1,8.86040,,LLM+VERIFY_FAIL_FALLBACK_SYM,(x + -16)/3 = -4,,"Baseline wrong, Hybrid v2 correct (good poster example)."
BASELINE_WRONG__V2_CORRECT,ALG50,ALG,Answer with only the final number. Solve for x: 3x - (x - 5) = -35.,-20,-10,0,5.41415,-20,1,0.00710,-20,1,7.49350,,LLM+VERIFY_FAIL_FALLBACK_SYM,3x - (x - 5) = -35,,"Baseline wrong, Hybrid v2 correct (good poster example)."
BASELINE_WRONG__V2_CORRECT,ALG53,ALG,Answer with only the final number. Solve for x: (x + 6)/10 = -2.,-26,-28,0,6.50485,-26,1,0.01320,-26,1,9.34380,,LLM+VERIFY_FAIL_FALLBACK_SYM,(x + 6)/10 = -2,,"Baseline wrong, Hybrid v2 correct (good poster example)."
BASELINE_WRONG__V2_CORRECT,ALG56,ALG,Answer with only the final number. Solve for x: 6x + 21 = -69.,-15,-16,0,6.52980,-15,1,0.00770,-15,1,9.30900,,LLM+VERIFY_FAIL_FALLBACK_SYM,6x + 21 = -69,,"Baseline wrong, Hybrid v2 correct (good poster example)."
BASELINE_WRONG__V2_CORRECT,ALG57,ALG,Answer with only the final number. Solve for x: 5(x + 9) = 110.,13,5,0,6.06625,13,1,0.00810,13,1,8.06300,,LLM+VERIFY_FAIL_FALLBACK_SYM,5(x + 9) = 110,,"Baseline wrong, Hybrid v2 correct (good poster example)."
BASELINE_WRONG__V2_CORRECT,ALG58,ALG,Answer with only the final number. Solve for x: (x + -19)/10 = -1.,9,-19,0,6.68985,9,1,0.00850,9,1,9.60110,,LLM+VERIFY_FAIL_FALLBACK_SYM,(x + -19)/10 = -1,,"Baseline wrong, Hybrid v2 correct (good poster example)."
BASELINE_WRONG__V2_CORRECT,ALG60,ALG,Answer with only the final number. Solve for x: 3x - (x - 5) = -21.,-13,-6,0,5.63640,-13,1,0.00640,-13,1,7.60200,,LLM+VERIFY_FAIL_FALLBACK_SYM,3x - (x - 5) = -21,,"Baseline wrong, Hybrid v2 correct (good poster example)."
BASELINE_WRONG__V2_CORRECT,ALG63,ALG,Answer with only the final number. Solve for x: (x + -9)/8 = 0.,9,72,0,5.72575,9,1,0.00660,9,1,8.53590,,LLM+VERIFY_FAIL_FALLBACK_SYM,(x + -9)/8 = 0,,"Baseline wrong, Hybrid v2 correct (good poster example)."
BASELINE_WRONG__V2_CORRECT,ALG67,ALG,Answer with only the final number. Solve for x: 4(x + 5) = 56.,9,6,0,5.37590,9,1,0.00750,9,1,7.86440,,LLM+VERIFY_FAIL_FALLBACK_SYM,4(x + 5) = 56,,"Baseline wrong, Hybrid v2 correct (good poster example)."
BASELINE_WRONG__V2_CORRECT,ALG68,ALG,Answer with only the final number. Solve for x: (x + -15)/7 = -1.,8,-14,0,6.30000,8,1,0.01140,8,1,9.22620,,LLM+VERIFY_FAIL_FALLBACK_SYM,(x + -15)/7 = -1,,"Baseline wrong, Hybrid v2 correct (good poster example)."
BASELINE_WRONG__V2_CORRECT,ALG70,ALG,Answer with only the final number. Solve for x: 3x - (x - 5) = -27.,-16,-6,0,5.64535,-16,1,0.00490,-16,1,7.66980,,LLM+VERIFY_FAIL_FALLBACK_SYM,3x - (x - 5) = -27,,"Baseline wrong, Hybrid v2 correct (good poster example)."
