run_id,timestamp,prompt_id,dataset,category,split,system,repeat_idx,prompt_template_version,parser_version,route_chosen,route_attempt_sequence,escalations_count,decision_reason,final_answer_source,reasoning_mode,symbolic_parse_success,sympy_solve_success,repair_attempted,repair_success,repair_trigger_reason,previous_raw_len,previous_action_id,answer_raw,answer_parsed,parse_success,ground_truth,correct,total_latency_ms,timeout_flag,timeout_policy_version,action_timeout_sec_used,timeout_reason,tau,p_correct,p_correct_pre_escalation,p_correct_post_escalation,calibrator_version,calibrator_loaded,feature_extraction_ms,calibrator_ms,routing_logic_ms,energy_start_mwh,energy_end_mwh,energy_delta_mwh,energy_per_prompt_mwh,error_code,model_name,quantization,temperature,top_p,top_k,seed,timeout_sec,config_version,router_version
hybrid_v4_20260222_150917,2026-02-22T15:09:17.493100,AR_000001,deepmind_math,AR,industry_tier1_40_v2,hybrid_v4,1,PT3_phi_chat,P3_numeric_context,symbolic,A5(Primary route for AR),0,deterministic_AR_A5,symbolic,symbolic,1,0,0,0,,0,,[A5 symbolic: 4 - (5 - (3 + 2)) = 4],4,1,4,1,3.918,0,v3.1_cost_cap_2,,,0.7000,-1.000000,-1.000000,-1.000000,v1,1,0.000,0.000,4.045,5778.00,6934.00,1156.00,28.90,E0,Phi-4-Mini,Q6_K,0.0,1.0,1,42,20,v1.0,v4.0
hybrid_v4_20260222_150917,2026-02-22T15:09:17.594757,AR_000001,deepmind_math,AR,industry_tier1_40_v2,hybrid_v4,2,PT3_phi_chat,P3_numeric_context,symbolic,A5(Primary route for AR),0,deterministic_AR_A5,symbolic,symbolic,1,0,0,0,,0,,[A5 symbolic: 4 - (5 - (3 + 2)) = 4],4,1,4,1,0.912,0,v3.1_cost_cap_2,,,0.7000,-1.000000,-1.000000,-1.000000,v1,1,0.000,0.000,1.086,5778.00,6934.00,1156.00,28.90,E0,Phi-4-Mini,Q6_K,0.0,1.0,1,42,20,v1.0,v4.0
hybrid_v4_20260222_150917,2026-02-22T15:09:17.696340,AR_000001,deepmind_math,AR,industry_tier1_40_v2,hybrid_v4,3,PT3_phi_chat,P3_numeric_context,symbolic,A5(Primary route for AR),0,deterministic_AR_A5,symbolic,symbolic,1,0,0,0,,0,,[A5 symbolic: 4 - (5 - (3 + 2)) = 4],4,1,4,1,0.984,0,v3.1_cost_cap_2,,,0.7000,-1.000000,-1.000000,-1.000000,v1,1,0.000,0.000,1.094,5778.00,6934.00,1156.00,28.90,E0,Phi-4-Mini,Q6_K,0.0,1.0,1,42,20,v1.0,v4.0
hybrid_v4_20260222_150917,2026-02-22T15:09:17.698159,AR_000002,deepmind_math,AR,industry_tier1_40_v2,hybrid_v4,1,PT3_phi_chat,P3_numeric_context,symbolic,A5(Primary route for AR),0,deterministic_AR_A5,symbolic,symbolic,1,0,0,0,,0,,[A5 symbolic: -2 + -1 + (10 + -7 - -4) = 4],4,1,4,1,1.312,0,v3.1_cost_cap_2,,,0.7000,-1.000000,-1.000000,-1.000000,v1,1,0.000,0.000,1.388,5778.00,6934.00,1156.00,28.90,E0,Phi-4-Mini,Q6_K,0.0,1.0,1,42,20,v1.0,v4.0
hybrid_v4_20260222_150917,2026-02-22T15:09:17.799952,AR_000002,deepmind_math,AR,industry_tier1_40_v2,hybrid_v4,2,PT3_phi_chat,P3_numeric_context,symbolic,A5(Primary route for AR),0,deterministic_AR_A5,symbolic,symbolic,1,0,0,0,,0,,[A5 symbolic: -2 + -1 + (10 + -7 - -4) = 4],4,1,4,1,1.248,0,v3.1_cost_cap_2,,,0.7000,-1.000000,-1.000000,-1.000000,v1,1,0.000,0.000,1.347,5778.00,6934.00,1156.00,28.90,E0,Phi-4-Mini,Q6_K,0.0,1.0,1,42,20,v1.0,v4.0
hybrid_v4_20260222_150917,2026-02-22T15:09:17.901904,AR_000002,deepmind_math,AR,industry_tier1_40_v2,hybrid_v4,3,PT3_phi_chat,P3_numeric_context,symbolic,A5(Primary route for AR),0,deterministic_AR_A5,symbolic,symbolic,1,0,0,0,,0,,[A5 symbolic: -2 + -1 + (10 + -7 - -4) = 4],4,1,4,1,1.377,0,v3.1_cost_cap_2,,,0.7000,-1.000000,-1.000000,-1.000000,v1,1,0.000,0.000,1.485,5778.00,6934.00,1156.00,28.90,E0,Phi-4-Mini,Q6_K,0.0,1.0,1,42,20,v1.0,v4.0
hybrid_v4_20260222_150917,2026-02-22T15:09:17.903341,AR_000003,deepmind_math,AR,industry_tier1_40_v2,hybrid_v4,1,PT3_phi_chat,P3_numeric_context,symbolic,A5(Primary route for AR),0,deterministic_AR_A5,symbolic,symbolic,1,0,0,0,,0,,[A5 symbolic: -7.5 - -2320.5 = 2313],2313,1,2313,1,0.944,0,v3.1_cost_cap_2,,,0.7000,-1.000000,-1.000000,-1.000000,v1,1,0.000,0.000,1.023,5778.00,6934.00,1156.00,28.90,E0,Phi-4-Mini,Q6_K,0.0,1.0,1,42,20,v1.0,v4.0
hybrid_v4_20260222_150917,2026-02-22T15:09:18.004815,AR_000003,deepmind_math,AR,industry_tier1_40_v2,hybrid_v4,2,PT3_phi_chat,P3_numeric_context,symbolic,A5(Primary route for AR),0,deterministic_AR_A5,symbolic,symbolic,1,0,0,0,,0,,[A5 symbolic: -7.5 - -2320.5 = 2313],2313,1,2313,1,0.900,0,v3.1_cost_cap_2,,,0.7000,-1.000000,-1.000000,-1.000000,v1,1,0.000,0.000,0.997,5778.00,6934.00,1156.00,28.90,E0,Phi-4-Mini,Q6_K,0.0,1.0,1,42,20,v1.0,v4.0
hybrid_v4_20260222_150917,2026-02-22T15:09:18.106372,AR_000003,deepmind_math,AR,industry_tier1_40_v2,hybrid_v4,3,PT3_phi_chat,P3_numeric_context,symbolic,A5(Primary route for AR),0,deterministic_AR_A5,symbolic,symbolic,1,0,0,0,,0,,[A5 symbolic: -7.5 - -2320.5 = 2313],2313,1,2313,1,0.999,0,v3.1_cost_cap_2,,,0.7000,-1.000000,-1.000000,-1.000000,v1,1,0.000,0.000,1.106,5778.00,6934.00,1156.00,28.90,E0,Phi-4-Mini,Q6_K,0.0,1.0,1,42,20,v1.0,v4.0
hybrid_v4_20260222_150917,2026-02-22T15:09:18.107645,AR_000004,deepmind_math,AR,industry_tier1_40_v2,hybrid_v4,1,PT3_phi_chat,P3_numeric_context,symbolic,A5(Primary route for AR),0,deterministic_AR_A5,symbolic,symbolic,1,0,0,0,,0,,[A5 symbolic: -1*-201 = 201],201,1,201,1,0.793,0,v3.1_cost_cap_2,,,0.7000,-1.000000,-1.000000,-1.000000,v1,1,0.000,0.000,0.872,5778.00,6934.00,1156.00,28.90,E0,Phi-4-Mini,Q6_K,0.0,1.0,1,42,20,v1.0,v4.0
