run_id,timestamp,prompt_id,dataset,category,split,system,repeat_idx,prompt_template_version,parser_version,route_chosen,route_attempt_sequence,escalations_count,decision_reason,final_answer_source,reasoning_mode,symbolic_parse_success,sympy_solve_success,answer_raw,answer_parsed,parse_success,ground_truth,correct,total_latency_ms,timeout_flag,energy_start_mwh,energy_end_mwh,energy_delta_mwh,energy_per_prompt_mwh,error_code,model_name,quantization,temperature,top_p,top_k,seed,timeout_sec,config_version,router_version
hybrid_v2_20260221_235921,2026-02-21T23:59:21.504791,AR_000001,deepmind_math,AR,industry_tier1_40_v2,hybrid_v2,1,PT3_phi_chat,P3_numeric_context,symbolic,A5(Primary route for AR),0,Primary route for AR,symbolic,symbolic,1,0,[A5 symbolic: 4 - (5 - (3 + 2)) = 4],4,1,4,1,1.688,0,306.00,1543.00,1237.00,30.93,E0,Phi-4-Mini,Q6_K,0.0,1.0,1,42,20,v1.0,v2.0
hybrid_v2_20260221_235921,2026-02-21T23:59:21.605604,AR_000001,deepmind_math,AR,industry_tier1_40_v2,hybrid_v2,2,PT3_phi_chat,P3_numeric_context,symbolic,A5(Primary route for AR),0,Primary route for AR,symbolic,symbolic,1,0,[A5 symbolic: 4 - (5 - (3 + 2)) = 4],4,1,4,1,0.516,0,306.00,1543.00,1237.00,30.93,E0,Phi-4-Mini,Q6_K,0.0,1.0,1,42,20,v1.0,v2.0
hybrid_v2_20260221_235921,2026-02-21T23:59:21.706366,AR_000001,deepmind_math,AR,industry_tier1_40_v2,hybrid_v2,3,PT3_phi_chat,P3_numeric_context,symbolic,A5(Primary route for AR),0,Primary route for AR,symbolic,symbolic,1,0,[A5 symbolic: 4 - (5 - (3 + 2)) = 4],4,1,4,1,0.456,0,306.00,1543.00,1237.00,30.93,E0,Phi-4-Mini,Q6_K,0.0,1.0,1,42,20,v1.0,v2.0
hybrid_v2_20260221_235921,2026-02-21T23:59:21.707047,AR_000002,deepmind_math,AR,industry_tier1_40_v2,hybrid_v2,1,PT3_phi_chat,P3_numeric_context,symbolic,A5(Primary route for AR),0,Primary route for AR,symbolic,symbolic,1,0,[A5 symbolic: -2 + -1 + (10 + -7 - -4) = 4],4,1,4,1,0.470,0,306.00,1543.00,1237.00,30.93,E0,Phi-4-Mini,Q6_K,0.0,1.0,1,42,20,v1.0,v2.0
hybrid_v2_20260221_235921,2026-02-21T23:59:21.807858,AR_000002,deepmind_math,AR,industry_tier1_40_v2,hybrid_v2,2,PT3_phi_chat,P3_numeric_context,symbolic,A5(Primary route for AR),0,Primary route for AR,symbolic,symbolic,1,0,[A5 symbolic: -2 + -1 + (10 + -7 - -4) = 4],4,1,4,1,0.590,0,306.00,1543.00,1237.00,30.93,E0,Phi-4-Mini,Q6_K,0.0,1.0,1,42,20,v1.0,v2.0
hybrid_v2_20260221_235921,2026-02-21T23:59:21.908741,AR_000002,deepmind_math,AR,industry_tier1_40_v2,hybrid_v2,3,PT3_phi_chat,P3_numeric_context,symbolic,A5(Primary route for AR),0,Primary route for AR,symbolic,symbolic,1,0,[A5 symbolic: -2 + -1 + (10 + -7 - -4) = 4],4,1,4,1,0.587,0,306.00,1543.00,1237.00,30.93,E0,Phi-4-Mini,Q6_K,0.0,1.0,1,42,20,v1.0,v2.0
hybrid_v2_20260221_235921,2026-02-21T23:59:21.909328,AR_000003,deepmind_math,AR,industry_tier1_40_v2,hybrid_v2,1,PT3_phi_chat,P3_numeric_context,symbolic,A5(Primary route for AR),0,Primary route for AR,symbolic,symbolic,1,0,[A5 symbolic: -7.5 - -2320.5 = 2313],2313,1,2313,1,0.378,0,306.00,1543.00,1237.00,30.93,E0,Phi-4-Mini,Q6_K,0.0,1.0,1,42,20,v1.0,v2.0
hybrid_v2_20260221_235921,2026-02-21T23:59:22.010033,AR_000003,deepmind_math,AR,industry_tier1_40_v2,hybrid_v2,2,PT3_phi_chat,P3_numeric_context,symbolic,A5(Primary route for AR),0,Primary route for AR,symbolic,symbolic,1,0,[A5 symbolic: -7.5 - -2320.5 = 2313],2313,1,2313,1,0.455,0,306.00,1543.00,1237.00,30.93,E0,Phi-4-Mini,Q6_K,0.0,1.0,1,42,20,v1.0,v2.0
hybrid_v2_20260221_235921,2026-02-21T23:59:22.111405,AR_000003,deepmind_math,AR,industry_tier1_40_v2,hybrid_v2,3,PT3_phi_chat,P3_numeric_context,symbolic,A5(Primary route for AR),0,Primary route for AR,symbolic,symbolic,1,0,[A5 symbolic: -7.5 - -2320.5 = 2313],2313,1,2313,1,0.994,0,306.00,1543.00,1237.00,30.93,E0,Phi-4-Mini,Q6_K,0.0,1.0,1,42,20,v1.0,v2.0
hybrid_v2_20260221_235921,2026-02-21T23:59:22.112619,AR_000004,deepmind_math,AR,industry_tier1_40_v2,hybrid_v2,1,PT3_phi_chat,P3_numeric_context,symbolic,A5(Primary route for AR),0,Primary route for AR,symbolic,symbolic,1,0,[A5 symbolic: -1*-201 = 201],201,1,201,1,0.768,0,306.00,1543.00,1237.00,30.93,E0,Phi-4-Mini,Q6_K,0.0,1.0,1,42,20,v1.0,v2.0
