run_id,timestamp,prompt_id,dataset,category,split,system,repeat_idx,prompt_template_version,parser_version,route_chosen,route_attempt_sequence,escalations_count,decision_reason,final_answer_source,reasoning_mode,symbolic_parse_success,sympy_solve_success,repair_attempted,repair_success,repair_trigger_reason,previous_raw_len,previous_action_id,answer_raw,answer_parsed,parse_success,ground_truth,correct,total_latency_ms,timeout_flag,timeout_policy_version,action_timeout_sec_used,timeout_reason,a6_parse_success,a6_n_facts,a6_n_rules,a6_n_derived,a6_rule_fired,a6_pattern,energy_start_mwh,energy_end_mwh,energy_delta_mwh,energy_per_prompt_mwh,error_code,model_name,quantization,temperature,top_p,top_k,seed,timeout_sec,config_version,router_version
hybrid_v5_20260222_185351,2026-02-22T18:53:51.646279,AR_000001,deepmind_math,AR,industry_tier1_40_v2,hybrid_v5,1,PT3_phi_chat,P3_numeric_context,symbolic,A5(Primary route for AR),0,Primary route for AR,symbolic,symbolic,1,0,0,0,,0,,[A5 symbolic: 4 - (5 - (3 + 2)) = 4],4,1,4,1,1.620,0,v5.0_a6_logic,,,,,,,,,3502.00,4706.00,1204.00,30.10,E0,Phi-4-Mini,Q6_K,0.0,1.0,1,42,20,v1.0,v5.0
hybrid_v5_20260222_185351,2026-02-22T18:53:51.747144,AR_000001,deepmind_math,AR,industry_tier1_40_v2,hybrid_v5,2,PT3_phi_chat,P3_numeric_context,symbolic,A5(Primary route for AR),0,Primary route for AR,symbolic,symbolic,1,0,0,0,,0,,[A5 symbolic: 4 - (5 - (3 + 2)) = 4],4,1,4,1,0.487,0,v5.0_a6_logic,,,,,,,,,3502.00,4706.00,1204.00,30.10,E0,Phi-4-Mini,Q6_K,0.0,1.0,1,42,20,v1.0,v5.0
hybrid_v5_20260222_185351,2026-02-22T18:53:51.847936,AR_000001,deepmind_math,AR,industry_tier1_40_v2,hybrid_v5,3,PT3_phi_chat,P3_numeric_context,symbolic,A5(Primary route for AR),0,Primary route for AR,symbolic,symbolic,1,0,0,0,,0,,[A5 symbolic: 4 - (5 - (3 + 2)) = 4],4,1,4,1,0.443,0,v5.0_a6_logic,,,,,,,,,3502.00,4706.00,1204.00,30.10,E0,Phi-4-Mini,Q6_K,0.0,1.0,1,42,20,v1.0,v5.0
hybrid_v5_20260222_185351,2026-02-22T18:53:51.848623,AR_000002,deepmind_math,AR,industry_tier1_40_v2,hybrid_v5,1,PT3_phi_chat,P3_numeric_context,symbolic,A5(Primary route for AR),0,Primary route for AR,symbolic,symbolic,1,0,0,0,,0,,[A5 symbolic: -2 + -1 + (10 + -7 - -4) = 4],4,1,4,1,0.471,0,v5.0_a6_logic,,,,,,,,,3502.00,4706.00,1204.00,30.10,E0,Phi-4-Mini,Q6_K,0.0,1.0,1,42,20,v1.0,v5.0
hybrid_v5_20260222_185351,2026-02-22T18:53:51.949446,AR_000002,deepmind_math,AR,industry_tier1_40_v2,hybrid_v5,2,PT3_phi_chat,P3_numeric_context,symbolic,A5(Primary route for AR),0,Primary route for AR,symbolic,symbolic,1,0,0,0,,0,,[A5 symbolic: -2 + -1 + (10 + -7 - -4) = 4],4,1,4,1,0.588,0,v5.0_a6_logic,,,,,,,,,3502.00,4706.00,1204.00,30.10,E0,Phi-4-Mini,Q6_K,0.0,1.0,1,42,20,v1.0,v5.0
hybrid_v5_20260222_185351,2026-02-22T18:53:52.050332,AR_000002,deepmind_math,AR,industry_tier1_40_v2,hybrid_v5,3,PT3_phi_chat,P3_numeric_context,symbolic,A5(Primary route for AR),0,Primary route for AR,symbolic,symbolic,1,0,0,0,,0,,[A5 symbolic: -2 + -1 + (10 + -7 - -4) = 4],4,1,4,1,0.581,0,v5.0_a6_logic,,,,,,,,,3502.00,4706.00,1204.00,30.10,E0,Phi-4-Mini,Q6_K,0.0,1.0,1,42,20,v1.0,v5.0
hybrid_v5_20260222_185351,2026-02-22T18:53:52.050903,AR_000003,deepmind_math,AR,industry_tier1_40_v2,hybrid_v5,1,PT3_phi_chat,P3_numeric_context,symbolic,A5(Primary route for AR),0,Primary route for AR,symbolic,symbolic,1,0,0,0,,0,,[A5 symbolic: -7.5 - -2320.5 = 2313],2313,1,2313,1,0.362,0,v5.0_a6_logic,,,,,,,,,3502.00,4706.00,1204.00,30.10,E0,Phi-4-Mini,Q6_K,0.0,1.0,1,42,20,v1.0,v5.0
hybrid_v5_20260222_185351,2026-02-22T18:53:52.151633,AR_000003,deepmind_math,AR,industry_tier1_40_v2,hybrid_v5,2,PT3_phi_chat,P3_numeric_context,symbolic,A5(Primary route for AR),0,Primary route for AR,symbolic,symbolic,1,0,0,0,,0,,[A5 symbolic: -7.5 - -2320.5 = 2313],2313,1,2313,1,0.472,0,v5.0_a6_logic,,,,,,,,,3502.00,4706.00,1204.00,30.10,E0,Phi-4-Mini,Q6_K,0.0,1.0,1,42,20,v1.0,v5.0
hybrid_v5_20260222_185351,2026-02-22T18:53:52.252372,AR_000003,deepmind_math,AR,industry_tier1_40_v2,hybrid_v5,3,PT3_phi_chat,P3_numeric_context,symbolic,A5(Primary route for AR),0,Primary route for AR,symbolic,symbolic,1,0,0,0,,0,,[A5 symbolic: -7.5 - -2320.5 = 2313],2313,1,2313,1,0.437,0,v5.0_a6_logic,,,,,,,,,3502.00,4706.00,1204.00,30.10,E0,Phi-4-Mini,Q6_K,0.0,1.0,1,42,20,v1.0,v5.0
hybrid_v5_20260222_185351,2026-02-22T18:53:52.252870,AR_000004,deepmind_math,AR,industry_tier1_40_v2,hybrid_v5,1,PT3_phi_chat,P3_numeric_context,symbolic,A5(Primary route for AR),0,Primary route for AR,symbolic,symbolic,1,0,0,0,,0,,[A5 symbolic: -1*-201 = 201],201,1,201,1,0.287,0,v5.0_a6_logic,,,,,,,,,3502.00,4706.00,1204.00,30.10,E0,Phi-4-Mini,Q6_K,0.0,1.0,1,42,20,v1.0,v5.0
hybrid_v5_20260222_185351,2026-02-22T18:53:52.353580,AR_000004,deepmind_math,AR,industry_tier1_40_v2,hybrid_v5,2,PT3_phi_chat,P3_numeric_context,symbolic,A5(Primary route for AR),0,Primary route for AR,symbolic,symbolic,1,0,0,0,,0,,[A5 symbolic: -1*-201 = 201],201,1,201,1,0.439,0,v5.0_a6_logic,,,,,,,,,3502.00,4706.00,1204.00,30.10,E0,Phi-4-Mini,Q6_K,0.0,1.0,1,42,20,v1.0,v5.0
hybrid_v5_20260222_185351,2026-02-22T18:53:52.454320,AR_000004,deepmind_math,AR,industry_tier1_40_v2,hybrid_v5,3,PT3_phi_chat,P3_numeric_context,symbolic,A5(Primary route for AR),0,Primary route for AR,symbolic,symbolic,1,0,0,0,,0,,[A5 symbolic: -1*-201 = 201],201,1,201,1,0.428,0,v5.0_a6_logic,,,,,,,,,3502.00,4706.00,1204.00,30.10,E0,Phi-4-Mini,Q6_K,0.0,1.0,1,42,20,v1.0,v5.0
hybrid_v5_20260222_185351,2026-02-22T18:53:52.455135,AR_000005,deepmind_math,AR,industry_tier1_40_v2,hybrid_v5,1,PT3_phi_chat,P3_numeric_context,symbolic,A5(Primary route for AR),0,Primary route for AR,symbolic,symbolic,1,0,0,0,,0,,[A5 symbolic: ((-2)/(-3) + -1)/((-2)/6) = 1],1,1,1,1,0.601,0,v5.0_a6_logic,,,,,,,,,3502.00,4706.00,1204.00,30.10,E0,Phi-4-Mini,Q6_K,0.0,1.0,1,42,20,v1.0,v5.0
