id,category,prompt,expected_answer
AR01,AR,Answer with only the final number. What is 17 * 24?,408
AR02,AR,Answer with only the final number. What is 38 * 7?,266
AR03,AR,Answer with only the final number. What is 56 * 14?,784
AR04,AR,Answer with only the final number. What is 1000 - 387?,613
AR05,AR,Answer with only the final number. What is 625 / 25?,25
AR06,AR,Answer with only the final number. What is 144 / 12?,12
AR07,AR,Answer with only the final number. What is 15^2?,225
AR08,AR,Answer with only the final number. What is 9^3?,729
AR09,AR,Answer with only the final number. What is (45 + 55) / 5?,20
AR10,AR,Answer with only the final number. What is 81 - 9*7?,18
ALG01,ALG,Answer with only the final number. Solve for x: x + 5 = 12.,7
ALG02,ALG,Answer with only the final number. Solve for x: 3x = 21.,7
ALG03,ALG,Answer with only the final number. Solve for x: 2x + 3 = 11.,4
ALG04,ALG,Answer with only the final number. Solve for x: x/4 = 6.,24
ALG05,ALG,Answer with only the final number. Solve for x: 5x - 10 = 0.,2
ALG06,ALG,Answer with only the final number. Solve for x: 7 + x = 20.,13
ALG07,ALG,Answer with only the final number. Solve for x: 9x + 1 = 19.,2
ALG08,ALG,Answer with only the final number. Solve for x: x - 8 = -3.,5
ALG09,ALG,Answer with only the final number. Solve for x: 4(x - 2) = 20.,7
ALG10,ALG,Answer with only the final number. Solve for x: (x/2) + 3 = 11.,16
LOG01,LOG,"Answer with only Yes or No. If all bloops are razzies and all razzies are flums, are all bloops flums?",Yes
LOG02,LOG,"Answer with only Yes or No. If no squares are circles and all circles are shapes, are any squares circles?",No
LOG03,LOG,"Answer with only Yes or No. If all A are B and some B are C, does it follow that some A are C?",No
LOG04,LOG,"Answer with only Yes or No. If today is after Monday, is it possible that today is Tuesday?",Yes
LOG05,LOG,"Answer with only Yes or No. If 2 statements are both true, is their conjunction true?",Yes
LOG06,LOG,"Answer with only Yes or No. If every cat is an animal and Felix is a cat, is Felix an animal?",Yes
LOG07,LOG,"Answer with only Yes or No. If no mammals lay eggs and a platypus lays eggs, is a platypus a mammal?",No
LOG08,LOG,"Answer with only Yes or No. If all glips are blaps and no blaps are snorps, can any glips be snorps?",No
LOG09,LOG,"Answer with only Yes or No. If X implies Y and X is false, must Y be true?",No
LOG10,LOG,"Answer with only Yes or No. If either P or Q is true and P is false, must Q be true?",Yes
WP01,WP,"Answer with only the final number. A box has 12 apples. If you buy 4 boxes, how many apples do you have?",48
WP02,WP,Answer with only the final number. A rectangle has length 8 and width 5. What is its area?,40
WP03,WP,Answer with only the final number. You have 30 candies and give away 12. How many remain?,18
WP04,WP,Answer with only the final number. A car travels 60 miles in 2 hours. What is its average speed in miles per hour?,30
WP05,WP,Answer with only the final number. A store sells 3 pens for $6. How much does 1 pen cost?,2
WP06,WP,Answer with only the final number. A recipe needs 2 cups of flour per batch. How many cups for 5 batches?,10
WP07,WP,Answer with only the final number. There are 24 students. They form groups of 6. How many groups?,4
WP08,WP,Answer with only the final number. A tank holds 50 liters. 30% is used. How many liters remain?,35
WP09,WP,Answer with only the final number. A train moves 90 km in 3 hours. What is its speed in km/h?,30
WP10,WP,Answer with only the final number. You read 15 pages per day for 8 days. How many pages total?,120
AR11,AR,Answer with only the final number. What is (16 + 44) * 3?,180
AR12,AR,Answer with only the final number. What is 443 - 36*6?,227
AR13,AR,Answer with only the final number. What is 46 / 2?,23
AR14,AR,Answer with only the final number. What is 58 * 78?,4524
AR15,AR,Answer with only the final number. What is (81 * 7) + (52 * 7)?,931
AR16,AR,Answer with only the final number. What is 5^2?,25
AR17,AR,Answer with only the final number. What is (63 / 7) * 10?,90
AR18,AR,Answer with only the final number. What is (441 + 99) - 41?,499
AR19,AR,Answer with only the final number. What is (32 * 2) / 8?,8
AR20,AR,Answer with only the final number. What is |42 - 172|?,130
AR21,AR,Answer with only the final number. What is (58 + 18) * 2?,152
AR22,AR,Answer with only the final number. What is 211 - 38*3?,97
AR23,AR,Answer with only the final number. What is 30 / 3?,10
AR24,AR,Answer with only the final number. What is 95 * 28?,2660
AR25,AR,Answer with only the final number. What is (26 * 6) + (12 * 6)?,228
AR26,AR,Answer with only the final number. What is 11^4?,14641
AR27,AR,Answer with only the final number. What is (150 / 6) * 9?,225
AR28,AR,Answer with only the final number. What is (957 + 14) - 49?,922
AR29,AR,Answer with only the final number. What is (55 * 9) / 5?,99
AR30,AR,Answer with only the final number. What is |175 - 183|?,8
AR31,AR,Answer with only the final number. What is (77 + 82) * 7?,1113
AR32,AR,Answer with only the final number. What is 56 - 35*8?,-224
AR33,AR,Answer with only the final number. What is 190 / 10?,19
AR34,AR,Answer with only the final number. What is 91 * 95?,8645
AR35,AR,Answer with only the final number. What is (86 * 8) + (72 * 8)?,1264
AR36,AR,Answer with only the final number. What is 10^4?,10000
AR37,AR,Answer with only the final number. What is (36 / 4) * 3?,27
AR38,AR,Answer with only the final number. What is (598 + 94) - 43?,649
AR39,AR,Answer with only the final number. What is (31 * 7) / 7?,31
AR40,AR,Answer with only the final number. What is |161 - 120|?,41
AR41,AR,Answer with only the final number. What is (19 + 68) * 8?,696
AR42,AR,Answer with only the final number. What is 343 - 31*2?,281
AR43,AR,Answer with only the final number. What is 66 / 3?,22
AR44,AR,Answer with only the final number. What is 90 * 56?,5040
AR45,AR,Answer with only the final number. What is (11 * 5) + (55 * 5)?,330
AR46,AR,Answer with only the final number. What is 11^4?,14641
AR47,AR,Answer with only the final number. What is (158 / 2) * 6?,474
AR48,AR,Answer with only the final number. What is (606 + 90) - 39?,657
AR49,AR,Answer with only the final number. What is (80 * 9) / 4?,180
AR50,AR,Answer with only the final number. What is |59 - 157|?,98
AR51,AR,Answer with only the final number. What is (66 + 58) * 9?,1116
AR52,AR,Answer with only the final number. What is 72 - 10*4?,32
AR53,AR,Answer with only the final number. What is 135 / 5?,27
AR54,AR,Answer with only the final number. What is 12 * 42?,504
AR55,AR,Answer with only the final number. What is (55 * 6) + (97 * 6)?,912
AR56,AR,Answer with only the final number. What is 11^4?,14641
AR57,AR,Answer with only the final number. What is (136 / 2) * 3?,204
AR58,AR,Answer with only the final number. What is (732 + 18) - 75?,675
AR59,AR,Answer with only the final number. What is (55 * 3) / 3?,55
AR60,AR,Answer with only the final number. What is |130 - 22|?,108
AR61,AR,Answer with only the final number. What is (78 + 58) * 3?,408
AR62,AR,Answer with only the final number. What is 329 - 35*2?,259
AR63,AR,Answer with only the final number. What is 102 / 6?,17
AR64,AR,Answer with only the final number. What is 70 * 14?,980
AR65,AR,Answer with only the final number. What is (81 * 8) + (52 * 8)?,1064
AR66,AR,Answer with only the final number. What is 10^2?,100
AR67,AR,Answer with only the final number. What is (192 / 4) * 8?,384
AR68,AR,Answer with only the final number. What is (165 + 96) - 28?,233
AR69,AR,Answer with only the final number. What is (57 * 5) / 3?,95
AR70,AR,Answer with only the final number. What is |180 - 34|?,146
AR71,AR,Answer with only the final number. What is (76 + 59) * 6?,810
AR72,AR,Answer with only the final number. What is 124 - 28*8?,-100
AR73,AR,Answer with only the final number. What is 112 / 4?,28
AR74,AR,Answer with only the final number. What is 78 * 53?,4134
AR75,AR,Answer with only the final number. What is (76 * 4) + (25 * 4)?,404
AR76,AR,Answer with only the final number. What is 14^3?,2744
AR77,AR,Answer with only the final number. What is (140 / 2) * 4?,280
AR78,AR,Answer with only the final number. What is (565 + 95) - 12?,648
AR79,AR,Answer with only the final number. What is (54 * 9) / 9?,54
AR80,AR,Answer with only the final number. What is |97 - 129|?,32
AR81,AR,Answer with only the final number. What is (13 + 30) * 7?,301
AR82,AR,Answer with only the final number. What is 496 - 43*4?,324
AR83,AR,Answer with only the final number. What is 100 / 10?,10
AR84,AR,Answer with only the final number. What is 23 * 79?,1817
AR85,AR,Answer with only the final number. What is (57 * 7) + (38 * 7)?,665
AR86,AR,Answer with only the final number. What is 6^3?,216
AR87,AR,Answer with only the final number. What is (155 / 5) * 5?,155
