id,category,prompt,expected_answer
T3_0192,AR,Answer with only the final number. What is 496 - 43*4?,324
T3_0208,AR,Answer with only the final number. What is (81 * 7) + (52 * 7)?,931
T3_0024,AR,Answer with only the final number. What is 1000 - 387?,613
T3_0012,AR,Answer with only the final number. What is (80 * 4) + (78 * 4)?,632
T3_0080,AR,Answer with only the final number. What is 10^4?,10000
T3_0249,AR,Answer with only the final number. What is 56 - 35*8?,-224
T3_0250,AR,Answer with only the final number. What is (55 * 9) / 5?,99
T3_0144,AR,Answer with only the final number. What is (441 + 99) - 41?,499
T3_0012,AR,Answer with only the final number. What is (80 * 4) + (78 * 4)?,632
T3_0189,AR,Answer with only the final number. What is 58 * 78?,4524
T3_0011,AR,Answer with only the final number. What is (155 / 5) * 5?,155
T3_0012,AR,Answer with only the final number. What is (80 * 4) + (78 * 4)?,632
T3_0234,AR,Answer with only the final number. What is |180 - 34|?,146
T3_0147,AR,Answer with only the final number. What is 443 - 36*6?,227
T3_0034,AR,Answer with only the final number. What is 14^3?,2744
T3_0232,AR,Answer with only the final number. What is (55 * 6) + (97 * 6)?,912
T3_0114,AR,Answer with only the final number. What is 625 / 25?,25
T3_0024,AR,Answer with only the final number. What is 1000 - 387?,613
T3_0147,AR,Answer with only the final number. What is 443 - 36*6?,227
T3_0233,AR,Answer with only the final number. What is (957 + 14) - 49?,922
T3_0113,AR,Answer with only the final number. What is |175 - 183|?,8
T3_0193,AR,Answer with only the final number. What is (81 * 8) + (52 * 8)?,1064
T3_0231,AR,Answer with only the final number. What is (565 + 95) - 12?,648
T3_0024,AR,Answer with only the final number. What is 1000 - 387?,613
T3_0134,AR,Answer with only the final number. What is 124 - 28*8?,-100
T3_0238,AR,Answer with only the final number. What is 11^4?,14641
T3_0239,AR,Answer with only the final number. What is 339 - 24*3?,267
T3_0243,AR,Answer with only the final number. What is 23 * 79?,1817
T3_0090,AR,Answer with only the final number. What is |149 - 71|?,78
T3_0234,AR,Answer with only the final number. What is |180 - 34|?,146
T3_0031,AR,Answer with only the final number. What is 12 * 42?,504
