run_id,timestamp,prompt_id,dataset,category,split,system,repeat_idx,action_id,grammar_enabled,grammar_version,max_tokens_budget,prompt_template_version,parser_version,answer_raw,answer_parsed,parse_success,ground_truth,correct,total_latency_ms,timeout_flag,energy_start_mwh,energy_end_mwh,energy_delta_mwh,energy_per_prompt_mwh,error_code,e7_http_status,e7_exception_type,e7_tokens_predicted,e7_stop_type,e7_prompt_len_chars,e7_raw_preview,model_name,quantization,temperature,top_p,top_k,seed,timeout_sec,config_version
v1_a1_nogrammar_20260221_164426,2026-02-21T16:44:32.242989,AR_000001,deepmind_math,AR,industry_tier1_40_v2,v1_a1_nogrammar,1,A1,0,none,12,PT3_phi_chat,P3_numeric_context,1,1,1,4,0,6122.083,0,37.00,1189.00,1152.00,28.80,E1,200,,2,stop,150,,Phi-4-Mini,Q6_K,0.0,1.0,1,42,45,v1.0
v1_a1_nogrammar_20260221_164426,2026-02-21T16:44:34.009044,AR_000001,deepmind_math,AR,industry_tier1_40_v2,v1_a1_nogrammar,2,A1,0,none,12,PT3_phi_chat,P3_numeric_context,1,1,1,4,0,1665.143,0,37.00,1189.00,1152.00,28.80,E1,200,,2,stop,150,,Phi-4-Mini,Q6_K,0.0,1.0,1,42,45,v1.0
v1_a1_nogrammar_20260221_164426,2026-02-21T16:44:35.764238,AR_000001,deepmind_math,AR,industry_tier1_40_v2,v1_a1_nogrammar,3,A1,0,none,12,PT3_phi_chat,P3_numeric_context,1,1,1,4,0,1654.571,0,37.00,1189.00,1152.00,28.80,E1,200,,2,stop,150,,Phi-4-Mini,Q6_K,0.0,1.0,1,42,45,v1.0
v1_a1_nogrammar_20260221_164426,2026-02-21T16:44:48.692439,AR_000002,deepmind_math,AR,industry_tier1_40_v2,v1_a1_nogrammar,1,A1,0,none,12,PT3_phi_chat,P3_numeric_context,The value is 10.,10,1,4,0,12927.068,0,37.00,1189.00,1152.00,28.80,E1,200,,7,stop,168,,Phi-4-Mini,Q6_K,0.0,1.0,1,42,45,v1.0
v1_a1_nogrammar_20260221_164426,2026-02-21T16:44:54.565346,AR_000002,deepmind_math,AR,industry_tier1_40_v2,v1_a1_nogrammar,2,A1,0,none,12,PT3_phi_chat,P3_numeric_context,The value is 10.,10,1,4,0,5772.275,0,37.00,1189.00,1152.00,28.80,E1,200,,7,stop,168,,Phi-4-Mini,Q6_K,0.0,1.0,1,42,45,v1.0
v1_a1_nogrammar_20260221_164426,2026-02-21T16:45:00.505196,AR_000002,deepmind_math,AR,industry_tier1_40_v2,v1_a1_nogrammar,3,A1,0,none,12,PT3_phi_chat,P3_numeric_context,The value is 10.,10,1,4,0,5839.319,0,37.00,1189.00,1152.00,28.80,E1,200,,7,stop,168,,Phi-4-Mini,Q6_K,0.0,1.0,1,42,45,v1.0
v1_a1_nogrammar_20260221_164426,2026-02-21T16:45:14.302381,AR_000003,deepmind_math,AR,industry_tier1_40_v2,v1_a1_nogrammar,1,A1,0,none,12,PT3_phi_chat,P3_numeric_context,-7.5 + 2320.5 = ,2313,1,2313,1,13796.081,0,37.00,1189.00,1152.00,28.80,E0,200,,12,length,147,,Phi-4-Mini,Q6_K,0.0,1.0,1,42,45,v1.0
v1_a1_nogrammar_20260221_164426,2026-02-21T16:45:24.313580,AR_000003,deepmind_math,AR,industry_tier1_40_v2,v1_a1_nogrammar,2,A1,0,none,12,PT3_phi_chat,P3_numeric_context,-7.5 + 2320.5 = ,2313,1,2313,1,9910.364,0,37.00,1189.00,1152.00,28.80,E0,200,,12,length,147,,Phi-4-Mini,Q6_K,0.0,1.0,1,42,45,v1.0
v1_a1_nogrammar_20260221_164426,2026-02-21T16:45:34.322778,AR_000003,deepmind_math,AR,industry_tier1_40_v2,v1_a1_nogrammar,3,A1,0,none,12,PT3_phi_chat,P3_numeric_context,-7.5 + 2320.5 = ,2313,1,2313,1,9908.532,0,37.00,1189.00,1152.00,28.80,E0,200,,12,length,147,,Phi-4-Mini,Q6_K,0.0,1.0,1,42,45,v1.0
v1_a1_nogrammar_20260221_164426,2026-02-21T16:45:37.536703,AR_000004,deepmind_math,AR,industry_tier1_40_v2,v1_a1_nogrammar,1,A1,0,none,12,PT3_phi_chat,P3_numeric_context,201,201,1,201,1,3213.479,0,37.00,1189.00,1152.00,28.80,E0,200,,2,stop,140,,Phi-4-Mini,Q6_K,0.0,1.0,1,42,45,v1.0
v1_a1_nogrammar_20260221_164426,2026-02-21T16:45:39.277385,AR_000004,deepmind_math,AR,industry_tier1_40_v2,v1_a1_nogrammar,2,A1,0,none,12,PT3_phi_chat,P3_numeric_context,201,201,1,201,1,1640.127,0,37.00,1189.00,1152.00,28.80,E0,200,,2,stop,140,,Phi-4-Mini,Q6_K,0.0,1.0,1,42,45,v1.0
v1_a1_nogrammar_20260221_164426,2026-02-21T16:45:41.079850,AR_000004,deepmind_math,AR,industry_tier1_40_v2,v1_a1_nogrammar,3,A1,0,none,12,PT3_phi_chat,P3_numeric_context,201,201,1,201,1,1701.951,0,37.00,1189.00,1152.00,28.80,E0,200,,2,stop,140,,Phi-4-Mini,Q6_K,0.0,1.0,1,42,45,v1.0
v1_a1_nogrammar_20260221_164426,2026-02-21T16:45:56.669406,AR_000005,deepmind_math,AR,industry_tier1_40_v2,v1_a1_nogrammar,1,A1,0,none,12,PT3_phi_chat,P3_numeric_context,(-2)/(-3) = 2/3,0.6666666666666666,1,1,0,15588.975,0,37.00,1189.00,1152.00,28.80,E1,200,,12,stop,158,,Phi-4-Mini,Q6_K,0.0,1.0,1,42,45,v1.0
v1_a1_nogrammar_20260221_164426,2026-02-21T16:46:06.666632,AR_000005,deepmind_math,AR,industry_tier1_40_v2,v1_a1_nogrammar,2,A1,0,none,12,PT3_phi_chat,P3_numeric_context,(-2)/(-3) = 2/3,0.6666666666666666,1,1,0,9896.674,0,37.00,1189.00,1152.00,28.80,E1,200,,12,stop,158,,Phi-4-Mini,Q6_K,0.0,1.0,1,42,45,v1.0
v1_a1_nogrammar_20260221_164426,2026-02-21T16:46:16.670368,AR_000005,deepmind_math,AR,industry_tier1_40_v2,v1_a1_nogrammar,3,A1,0,none,12,PT3_phi_chat,P3_numeric_context,(-2)/(-3) = 2/3,0.6666666666666666,1,1,0,9903.175,0,37.00,1189.00,1152.00,28.80,E1,200,,12,stop,158,,Phi-4-Mini,Q6_K,0.0,1.0,1,42,45,v1.0
v1_a1_nogrammar_20260221_164426,2026-02-21T16:46:24.997027,AR_000006,deepmind_math,AR,industry_tier1_40_v2,v1_a1_nogrammar,1,A1,0,none,12,PT3_phi_chat,P3_numeric_context,-0.3333333333333333,-0.3333333333333333,1,-5,0,8326.208,0,37.00,1189.00,1152.00,28.80,E1,200,,10,stop,146,,Phi-4-Mini,Q6_K,0.0,1.0,1,42,45,v1.0
v1_a1_nogrammar_20260221_164426,2026-02-21T16:46:33.332802,AR_000006,deepmind_math,AR,industry_tier1_40_v2,v1_a1_nogrammar,2,A1,0,none,12,PT3_phi_chat,P3_numeric_context,-0.3333333333333333,-0.3333333333333333,1,-5,0,8235.247,0,37.00,1189.00,1152.00,28.80,E1,200,,10,stop,146,,Phi-4-Mini,Q6_K,0.0,1.0,1,42,45,v1.0
v1_a1_nogrammar_20260221_164426,2026-02-21T16:46:41.704683,AR_000006,deepmind_math,AR,industry_tier1_40_v2,v1_a1_nogrammar,3,A1,0,none,12,PT3_phi_chat,P3_numeric_context,-0.3333333333333333,-0.3333333333333333,1,-5,0,8271.359,0,37.00,1189.00,1152.00,28.80,E1,200,,10,stop,146,,Phi-4-Mini,Q6_K,0.0,1.0,1,42,45,v1.0
v1_a1_nogrammar_20260221_164426,2026-02-21T16:46:49.616877,AR_000007,deepmind_math,AR,industry_tier1_40_v2,v1_a1_nogrammar,1,A1,0,none,12,PT3_phi_chat,P3_numeric_context,-10,-10,1,4,0,7911.765,0,37.00,1189.00,1152.00,28.80,E1,200,,3,stop,144,,Phi-4-Mini,Q6_K,0.0,1.0,1,42,45,v1.0
v1_a1_nogrammar_20260221_164426,2026-02-21T16:46:52.233341,AR_000007,deepmind_math,AR,industry_tier1_40_v2,v1_a1_nogrammar,2,A1,0,none,12,PT3_phi_chat,P3_numeric_context,-10,-10,1,4,0,2515.814,0,37.00,1189.00,1152.00,28.80,E1,200,,3,stop,144,,Phi-4-Mini,Q6_K,0.0,1.0,1,42,45,v1.0
